# Номер	U_i		d_i		d_i^2
1	4.110000		0.141200		0.019937
2	4.050000		0.081200		0.006593
3	4.000000		0.031200		0.000973
4	3.980000		0.011200		0.000125
5	4.010000		0.041200		0.001697
6	4.000000		0.031200		0.000973
7	3.990000		0.021200		0.000449
8	3.950000		-0.018800		0.000353
9	3.920000		-0.048800		0.002381
10	3.970000		0.001200		0.000001
11	3.920000		-0.048800		0.002381
12	3.960000		-0.008800		0.000077
13	3.970000		0.001200		0.000001
14	3.950000		-0.018800		0.000353
15	3.920000		-0.048800		0.002381
16	3.940000		-0.028800		0.000829
17	4.030000		0.061200		0.003745
18	3.990000		0.021200		0.000449
19	4.010000		0.041200		0.001697
20	4.020000		0.051200		0.002621
21	3.930000		-0.038800		0.001505
22	3.950000		-0.018800		0.000353
23	3.920000		-0.048800		0.002381
24	3.940000		-0.028800		0.000829
25	3.970000		0.001200		0.000001
26	3.910000		-0.058800		0.003457
27	3.990000		0.021200		0.000449
28	3.910000		-0.058800		0.003457
29	3.940000		-0.028800		0.000829
30	4.000000		0.031200		0.000973
31	3.980000		0.011200		0.000125
32	3.950000		-0.018800		0.000353
33	3.930000		-0.038800		0.001505
34	3.980000		0.011200		0.000125
35	3.920000		-0.048800		0.002381
36	3.960000		-0.008800		0.000077
37	4.030000		0.061200		0.003745
38	4.000000		0.031200		0.000973
39	4.030000		0.061200		0.003745
40	3.900000		-0.068800		0.004733
41	3.940000		-0.028800		0.000829
42	3.990000		0.021200		0.000449
43	3.980000		0.011200		0.000125
44	3.910000		-0.058800		0.003457
45	4.010000		0.041200		0.001697
46	3.900000		-0.068800		0.004733
47	3.950000		-0.018800		0.000353
48	4.000000		0.031200		0.000973
49	3.950000		-0.018800		0.000353
50	3.980000		0.011200		0.000125
3.968800
1.762400
0.093128
